"id","V","A","D","stdV","stdA","stdD","N"
"110CYL069_1793_1857","3.0","2.33","3.0","0.0","0.94","0.0","3"
"110CYL069_18_35","3.0","3.0","3.0","0.0","0.0","0.0","5"
"110CYL069_1858_1935","3.0","3.0","3.5","0.0","0.0","0.5","2"
"110CYL069_1936_1967","3.2","3.0","3.0","0.4","0.0","0.0","5"
"110CYL069_1968_1985","3.2","3.0","3.4","0.4","0.0","0.8","5"
"110CYL069_1986_1993","3.0","3.0","3.2","0.0","0.0","0.4","5"
"110CYL069_2000_2165","3.0","3.0","3.0","0.0","0.0","0.0","2"
"110CYL069_207_260","2.83","2.83","3.33","0.37","0.9","0.75","6"
"110CYL069_2166_2322","3.2","3.4","3.0","0.75","0.49","0.0","5"
"110CYL069_2329_2471","3.4","3.6","3.4","0.49","0.49","0.49","5"
"110CYL069_2552_2596","3.0","3.0","3.0","0.0","0.0","0.0","5"
"110CYL069_2603_2727","3.2","2.8","3.0","0.4","0.4","0.0","5"
"110CYL069_267_291","3.0","3.5","3.5","0.0","0.5","0.5","2"
"110CYL069_2728_2826","3.0","3.0","3.0","0.0","0.0","0.0","3"
"110CYL069_2833_2895","2.8","2.8","3.2","0.4","0.4","0.4","5"
"110CYL069_2896_2948","4.0","3.5","3.5","0.0","0.5","0.5","2"
"110CYL069_2955_2997","3.25","3.0","3.5","0.43","0.0","0.5","4"
"110CYL069_298_312","3.0","3.0","3.0","0.0","0.0","0.0","2"
"110CYL069_2998_3069","3.0","3.0","3.0","0.0","0.0","0.0","5"
"110CYL069_313_453","3.6","3.2","3.6","0.49","0.4","0.49","5"
"110CYL069_3141_3151","3.0","3.0","3.0","0.0","0.0","0.0","5"
"110CYL069_3152_3165","3.0","2.75","3.0","0.0","0.43","0.0","4"
"110CYL069_3166_3231","3.2","3.2","3.2","0.4","0.4","0.4","5"
"110CYL069_3238_3328","3.0","3.33","3.67","0.0","0.47","0.47","3"
"110CYL069_3329_3408","3.5","3.0","3.17","0.5","0.0","0.37","6"
"110CYL069_3409_3451","3.4","2.6","2.6","0.8","0.8","0.8","5"
"110CYL069_3458_3552","3.0","2.5","3.0","0.0","0.5","0.0","2"
"110CYL069_3559_3569","3.0","2.8","3.0","0.0","0.4","0.0","5"
"110CYL069_3590_3635","3.0","2.33","3.0","0.0","0.94","0.0","3"
"110CYL069_42_62","3.0","3.33","3.33","0.0","0.47","0.47","3"
"110CYL069_460_512","3.2","3.4","3.6","0.4","0.49","0.8","5"
"110CYL069_513_544","3.2","3.0","3.8","0.4","0.63","0.75","5"
"110CYL069_545_682","3.2","3.2","3.0","0.4","0.4","0.63","5"
"110CYL069_689_842","3.8","3.6","3.4","0.4","0.49","0.49","5"
"110CYL069_69_206","3.4","3.0","3.6","0.8","0.63","0.49","5"
"110CYL069_843_964","3.8","3.2","3.4","0.75","0.75","0.49","5"
"110CYL069_971_1145","2.6","3.2","3.0","0.49","0.75","0.63","5"
"110CYL070_1013_1100","2.8","3.2","3.0","0.4","0.4","0.0","5"
"110CYL070_1101_1127","3.2","2.8","3.2","0.4","0.4","1.17","5"
"110CYL070_1134_1181","3.6","2.8","2.8","0.49","0.4","0.4","5"
"110CYL070_1182_1214","3.0","3.2","3.0","0.0","0.4","0.0","5"
"110CYL070_1221_1263","3.0","3.0","3.0","0.0","0.0","0.0","2"
"110CYL070_1264_1318","3.33","3.0","3.67","0.47","0.0","0.47","3"
"110CYL070_1325_1335","3.0","2.4","2.6","0.0","0.8","0.49","5"
"110CYL070_1342_1371","3.0","2.67","3.33","0.0","0.47","0.47","3"
"110CYL070_135_187","3.8","3.2","3.4","0.4","0.4","0.49","5"
"110CYL070_18_35","3.0","3.0","3.0","0.0","0.0","0.0","5"
"110CYL070_188_263","3.2","3.2","3.2","0.4","0.4","0.4","5"
"110CYL070_264_371","3.2","3.2","3.0","0.4","0.4","0.0","5"
"110CYL070_378_418","3.0","3.2","3.2","0.0","0.4","0.4","5"
"110CYL070_419_498","3.6","3.0","2.8","0.49","0.0","0.4","5"
"110CYL070_42_72","3.0","3.0","3.0","0.0","0.0","0.0","5"
"110CYL070_499_580","3.4","3.0","3.0","0.49","0.0","0.0","5"
"110CYL070_587_626","2.6","3.2","2.8","0.49","0.75","0.75","5"
"110CYL070_627_640","2.8","3.2","3.2","0.4","0.4","0.4","5"
"110CYL070_641_833","3.8","3.2","3.8","0.98","0.75","0.4","5"
"110CYL070_79_128","3.8","3.2","3.4","0.4","0.75","0.8","5"
"110CYL070_840_1012","2.67","3.0","3.33","0.47","0.0","0.47","3"
"110CYL071_1114_1167","4.0","3.6","3.4","0.0","0.49","0.49","5"
"110CYL071_1168_1224","3.2","3.2","3.2","0.4","0.4","0.4","5"
"110CYL071_1231_1280","3.0","3.2","3.0","0.63","0.4","0.0","5"
"110CYL071_1281_1339","2.8","3.6","3.2","0.4","0.49","0.4","5"
"110CYL071_1340_1405","3.0","2.6","2.8","0.0","0.49","0.4","5"
"110CYL071_1412_1547","3.2","3.6","3.6","0.4","0.49","0.49","5"
"110CYL071_1548_1607","3.6","3.0","3.0","0.8","0.63","0.0","5"
"110CYL071_1614_1719","3.0","3.0","3.67","0.0","0.82","0.47","3"
"110CYL071_1720_1830","3.4","3.4","3.2","0.8","0.8","0.4","5"
"110CYL071_175_239","3.6","3.8","3.4","0.49","0.75","0.49","5"
"110CYL071_18_35","3.0","1.8","2.6","0.0","0.98","0.8","5"
"110CYL071_1837_1955","3.8","3.2","3.4","0.75","0.75","0.49","5"
"110CYL071_1962_2031","3.0","2.67","3.67","0.0","0.47","0.47","3"
"110CYL071_2038_2263","3.2","2.6","2.6","0.4","0.49","0.49","5"
"110CYL071_2270_2322","3.2","3.4","3.2","0.4","0.49","0.75","5"
"110CYL071_2323_2391","2.8","2.6","3.4","0.4","1.02","1.02","5"
"110CYL071_2392_2518","3.6","3.4","3.0","0.49","0.49","0.0","5"
"110CYL071_246_283","2.2","3.0","3.0","0.4","0.0","0.0","5"
"110CYL071_2525_2535","3.2","3.0","2.8","0.4","0.0","0.4","5"
"110CYL071_2542_2571","3.0","3.0","3.0","0.0","0.0","0.0","3"
"110CYL071_2578_2582","3.0","2.8","3.0","0.0","0.4","0.0","5"
"110CYL071_2583_2616","4.0","3.67","3.5","0.58","0.47","0.5","6"
"110CYL071_2617_2795","3.2","3.0","3.0","0.75","0.0","0.0","5"
"110CYL071_284_391","3.0","3.4","3.0","0.63","0.49","0.63","5"
"110CYL071_398_457","3.0","3.0","3.2","0.0","0.0","0.4","5"
"110CYL071_42_48","3.0","3.0","3.0","0.0","0.0","0.0","2"
"110CYL071_458_550","2.0","3.0","2.75","0.71","0.71","0.83","4"
"110CYL071_55_94","3.6","3.4","3.4","0.49","0.49","0.49","5"
"110CYL071_557_605","2.4","3.0","2.8","0.49","0.0","0.4","5"
"110CYL071_606_664","2.8","3.0","3.2","0.4","0.0","0.4","5"
"110CYL071_665_698","3.2","3.0","3.0","0.4","0.0","0.0","5"
"110CYL071_705_892","4.0","3.2","3.2","0.63","0.75","0.4","5"
"110CYL071_899_985","3.6","3.0","3.0","0.49","0.0","0.0","5"
"110CYL071_95_168","4.0","3.6","3.0","0.63","0.49","0.0","5"
"110CYL071_986_1107","3.2","2.8","3.4","0.4","0.4","0.49","5"
"110CYL072_130_264","2.2","3.0","2.6","0.75","0.63","0.8","5"
"110CYL072_18_123","3.0","3.2","3.0","0.0","0.4","0.0","5"
"110CYL072_271_313","3.0","3.0","3.0","0.0","0.0","0.0","5"
"110CYL072_314_412","3.33","3.33","3.33","0.47","0.47","0.47","3"
"110CYL072_413_518","4.0","3.6","3.2","0.63","0.8","0.4","5"
"110CYL072_525_641","2.6","3.0","2.6","0.49","0.63","0.49","5"
"110CYL072_642_721","3.25","3.0","3.0","0.43","0.71","0.0","4"
"110CYL072_728_754","3.0","3.0","3.0","0.0","0.0","0.0","5"
"110CYL072_755_835","2.6","3.2","2.8","0.49","0.4","0.4","5"
"110CYL072_836_851","4.2","3.2","3.6","0.4","0.75","0.8","5"
"110CYL072_852_862","2.8","3.2","3.4","0.4","0.4","0.49","5"
"110CYL072_869_924","3.2","3.0","3.0","0.4","0.0","0.0","5"
"110CYL072_931_969","3.0","2.6","3.0","0.0","0.49","0.0","5"
"110CYL200_1083_1283","3.2","3.0","3.0","0.4","0.0","0.0","5"
"110CYL200_1290_1428","2.2","3.0","2.8","0.4","0.0","0.4","5"
"110CYL200_1429_1568","2.8","3.2","2.8","0.4","0.4","0.4","5"
"110CYL200_1569_1610","2.8","2.8","3.0","0.4","0.4","0.0","5"
"110CYL200_1611_1668","2.0","3.0","3.0","0.0","0.0","0.0","2"
"110CYL200_1675_1703","2.4","3.0","2.4","0.49","0.63","0.49","5"
"110CYL200_1710_1804","3.2","3.4","3.4","0.4","0.8","0.49","5"
"110CYL200_18_32","3.0","3.0","3.0","0.0","0.0","0.0","5"
"110CYL200_1805_2047","3.8","3.6","3.6","0.75","0.8","0.49","5"
"110CYL200_2048_2113","3.0","3.0","3.0","0.0","0.0","0.0","5"
"110CYL200_210_382","2.6","3.0","2.8","0.49","0.0","0.4","5"
"110CYL200_2120_2281","3.6","3.0","3.0","0.49","1.1","0.0","5"
"110CYL200_2282_2388","3.5","3.5","3.5","0.5","0.5","0.5","2"
"110CYL200_2395_2491","3.2","2.6","3.0","0.4","0.8","0.0","5"
"110CYL200_2492_2541","3.6","3.4","3.0","0.8","0.49","0.0","5"
"110CYL200_2548_2558","3.2","3.0","3.2","0.4","0.0","0.4","5"
"110CYL200_2565_2594","3.0","2.8","3.0","0.0","0.4","0.0","5"
"110CYL200_389_480","2.0","3.33","2.0","0.82","0.47","0.82","3"
"110CYL200_39_65","3.0","2.0","3.2","0.0","0.89","0.4","5"
"110CYL200_481_588","3.2","3.0","3.0","0.4","0.63","0.0","5"
"110CYL200_589_724","3.2","3.2","3.2","0.4","0.4","0.4","5"
"110CYL200_72_82","3.0","2.6","3.4","0.0","0.8","0.8","5"
"110CYL200_731_787","3.4","3.2","3.2","0.49","0.4","0.4","5"
"110CYL200_788_832","2.0","3.0","3.0","0.0","0.0","0.0","2"
"110CYL200_833_946","2.75","3.0","3.0","0.43","0.0","0.0","4"
"110CYL200_89_209","3.0","3.0","3.5","0.0","0.0","0.5","2"
"110CYL200_947_1076","1.8","3.0","2.0","0.75","0.63","0.89","5"
"112C-L012_1236_1337","3.0","3.0","3.0","0.0","0.0","0.0","5"
"112C-L012_1344_1562","3.0","3.0","3.2","0.0","0.0","0.4","5"
"112C-L012_1569_1624","3.0","3.0","3.0","0.0","0.0","0.0","2"
"112C-L012_1625_1768","3.2","3.0","2.8","0.4","0.0","0.4","5"
"112C-L012_1775_1785","3.2","3.0","3.0","0.4","0.0","0.0","5"
"112C-L012_1792_1820","2.8","2.8","3.2","0.4","0.98","0.4","5"
"112C-L012_18_31","3.0","2.33","3.0","0.0","0.94","0.0","3"
"112C-L012_184_255","3.0","2.75","3.0","0.0","0.43","0.0","4"
"112C-L012_256_305","2.2","3.0","3.2","0.4","0.63","0.4","5"
"112C-L012_312_402","2.0","2.67","1.67","0.0","0.47","0.47","3"
"112C-L012_38_63","3.0","2.8","3.0","0.0","0.4","0.0","5"
"112C-L012_409_634","3.2","3.0","3.2","0.4","0.63","0.4","5"
"112C-L012_641_784","3.2","3.2","3.0","0.4","0.4","0.0","5"
"112C-L012_70_76","3.2","2.8","3.0","0.4","0.4","0.0","5"
"112C-L012_785_815","3.0","2.8","3.0","0.0","0.98","0.63","5"
"112C-L012_816_865","3.6","3.0","3.4","0.49","0.63","0.49","5"
"112C-L012_83_183","3.0","3.4","3.2","0.63","0.8","0.4","5"
"112C-L012_872_930","3.0","2.67","3.33","0.0","0.47","0.47","3"
"112C-L012_931_982","3.4","2.6","3.4","0.8","0.8","0.8","5"
"112C-L012_989_1229","3.0","3.0","3.0","0.0","0.63","0.63","5"
"112C-L013_1054_1129","3.0","3.0","3.0","0.0","0.0","0.0","3"
"112C-L013_1130_1256","2.6","3.2","3.0","0.8","0.4","0.0","5"
"112C-L013_1257_1343","3.2","3.0","3.0","0.4","0.0","0.0","5"
"112C-L013_1344_1448","3.0","3.0","3.0","0.0","0.0","0.0","5"
"112C-L013_1455_1532","2.5","3.83","2.67","0.76","0.69","0.75","6"
"112C-L013_156_252","3.0","3.0","3.0","0.0","0.0","0.0","2"
"112C-L013_1592_1655","3.33","3.0","3.17","0.47","0.58","0.37","6"
"112C-L013_1656_1697","3.0","2.8","3.0","0.0","0.4","0.0","5"
"112C-L013_1698_1850","4.0","2.8","3.4","0.89","0.4","0.49","5"
"112C-L013_18_35","3.0","2.6","3.0","0.0","0.8","0.0","5"
"112C-L013_1851_1963","3.4","2.8","3.2","0.49","0.4","0.4","5"
"112C-L013_1964_2039","3.4","3.2","3.0","0.49","0.4","0.0","5"
"112C-L013_2046_2161","2.8","3.0","2.6","0.4","0.63","0.49","5"
"112C-L013_2162_2234","2.0","3.5","3.0","1.0","0.5","0.0","2"
"112C-L013_2235_2311","3.2","3.6","2.6","0.4","0.49","0.49","5"
"112C-L013_2312_2388","3.2","3.0","3.2","0.4","0.0","0.4","5"
"112C-L013_2395_2405","3.0","2.8","3.2","0.0","0.4","0.4","5"
"112C-L013_2412_2421","3.0","2.6","3.0","0.0","0.8","0.0","5"
"112C-L013_253_379","1.8","3.0","2.4","0.4","0.63","0.49","5"
"112C-L013_380_529","2.2","3.0","3.0","0.4","0.63","0.63","5"
"112C-L013_42_54","3.0","3.0","3.0","0.0","0.0","0.0","2"
"112C-L013_530_542","3.4","3.6","3.0","0.49","0.8","0.0","5"
"112C-L013_549_574","2.8","3.2","2.8","0.4","0.75","0.75","5"
"112C-L013_575_652","2.2","3.2","2.8","0.4","0.4","0.4","5"
"112C-L013_61_149","3.2","2.8","3.0","0.4","0.4","0.0","5"
"112C-L013_653_757","2.5","3.0","2.5","0.5","0.0","0.5","2"
"112C-L013_758_841","2.2","3.2","2.4","0.75","0.4","0.8","5"
"112C-L013_842_966","3.2","2.8","2.8","0.4","0.4","0.4","5"
"112C-L013_973_1053","3.2","3.2","3.6","0.75","0.75","0.8","5"
"112C-L014_1070_1113","2.6","2.6","2.6","0.8","0.49","0.8","5"
"112C-L014_1114_1137","2.6","2.6","2.6","0.49","0.49","0.49","5"
"112C-L014_1144_1226","3.4","2.8","3.2","0.49","0.4","0.4","5"
"112C-L014_116_194","3.2","3.4","3.2","0.4","0.49","0.4","5"
"112C-L014_1227_1282","4.2","3.2","3.6","0.75","1.17","0.8","5"
"112C-L014_1289_1335","3.4","3.0","3.2","0.8","0.63","0.4","5"
"112C-L014_1336_1386","3.0","2.75","3.0","0.0","0.43","0.0","4"
"112C-L014_1387_1506","3.0","3.6","3.0","0.63","0.8","0.63","5"
"112C-L014_1513_1538","3.33","3.0","2.67","0.47","0.82","0.47","3"
"112C-L014_1539_1607","3.6","3.0","3.2","0.49","0.63","0.4","5"
"112C-L014_1614_1624","3.4","2.6","3.0","0.49","0.49","0.0","5"
"112C-L014_1631_1655","3.0","2.6","3.0","0.0","0.49","0.0","5"
"112C-L014_18_31","3.0","2.17","2.67","0.0","0.9","0.75","6"
"112C-L014_195_327","3.2","3.2","3.2","0.98","0.75","0.75","5"
"112C-L014_328_554","4.5","2.5","3.5","0.5","1.5","0.5","2"
"112C-L014_38_50","3.2","3.0","3.0","0.4","0.0","0.0","5"
"112C-L014_561_677","2.0","3.5","2.5","0.0","0.5","0.5","2"
"112C-L014_57_80","2.8","3.0","3.4","0.4","0.0","0.49","5"
"112C-L014_678_778","3.0","2.67","3.67","0.0","0.47","0.47","3"
"112C-L014_785_803","3.6","3.2","3.2","0.49","0.4","0.4","5"
"112C-L014_804_831","3.4","3.0","3.0","0.8","0.63","0.0","5"
"112C-L014_81_109","3.0","2.8","3.0","0.0","0.4","0.0","5"
"112C-L014_832_878","2.8","3.0","3.0","0.4","0.0","0.63","5"
"112C-L014_879_1063","2.8","3.0","2.6","0.98","0.63","1.02","5"
"112C-L015_1087_1146","3.4","3.2","3.4","0.49","0.4","0.49","5"
"112C-L015_1147_1188","3.2","3.0","3.0","0.4","0.0","0.0","5"
"112C-L015_1189_1240","4.0","3.2","3.4","0.63","0.75","0.49","5"
"112C-L015_1247_1334","3.5","2.5","3.5","0.5","0.76","0.76","6"
"112C-L015_1335_1452","3.4","3.0","3.0","0.49","0.63","0.63","5"
"112C-L015_1453_1503","3.8","3.6","3.4","0.75","0.49","0.49","5"
"112C-L015_1504_1606","3.0","3.0","3.0","0.0","0.0","0.0","2"
"112C-L015_1620_1681","3.2","3.2","3.0","0.4","0.4","0.63","5"
"112C-L015_1682_1813","3.4","2.6","3.0","0.49","0.49","0.0","5"
"112C-L015_18_47","3.0","3.0","3.0","0.0","0.0","0.0","2"
"112C-L015_1820_1880","4.0","3.4","3.0","0.89","0.49","0.0","5"
"112C-L015_1887_1897","3.33","3.0","3.33","0.47","0.0","0.47","3"
"112C-L015_1904_1932","3.0","2.33","3.0","0.0","0.94","0.0","3"
"112C-L015_231_324","4.0","3.4","3.2","0.63","0.49","0.4","5"
"112C-L015_325_413","2.4","2.8","2.6","0.49","0.4","0.49","5"
"112C-L015_420_473","3.2","3.2","3.2","0.4","0.4","0.4","5"
"112C-L015_474_620","3.0","3.0","3.0","0.0","0.0","0.0","2"
"112C-L015_54_230","3.4","2.8","3.2","0.49","0.4","0.4","5"
"112C-L015_621_695","2.0","3.0","3.0","0.71","0.71","0.71","4"
"112C-L015_702_858","3.2","3.0","3.2","0.75","0.63","0.4","5"
"112C-L015_859_939","2.0","3.0","3.0","0.0","0.0","0.0","3"
"112C-L015_940_1086","2.2","3.0","3.0","0.4","0.0","0.0","5"
"112C-L016_1002_1117","3.0","3.0","3.2","0.0","0.0","0.4","5"
"112C-L016_1118_1197","3.0","3.0","3.0","0.0","0.0","0.0","2"
"112C-L016_1198_1314","3.8","3.4","3.6","0.4","0.49","0.49","5"
"112C-L016_1321_1331","3.2","2.8","3.0","0.4","0.4","0.0","5"
"112C-L016_18_87","3.0","3.0","3.0","0.0","0.0","0.0","5"
"112C-L016_196_301","3.2","2.8","2.8","0.4","0.75","0.4","5"
"112C-L016_302_372","3.0","2.6","3.0","0.0","0.8","0.0","5"
"112C-L016_373_495","3.8","3.2","3.8","0.75","0.75","0.4","5"
"112C-L016_502_688","2.6","3.0","3.0","0.49","0.0","0.0","5"
"112C-L016_689_721","3.0","3.0","3.2","0.0","0.0","0.4","5"
"112C-L016_722_804","2.0","3.0","3.33","0.0","0.0","0.47","3"
"112C-L016_805_903","2.2","2.6","2.6","0.75","0.49","0.49","5"
"112C-L016_910_1001","3.0","3.2","3.2","0.63","0.4","0.75","5"
"112C-L016_94_189","3.0","2.8","3.0","0.0","0.4","0.0","5"
"113CWL017_1034_1074","2.8","3.0","3.0","0.4","0.0","0.0","5"
"113CWL017_1075_1226","3.2","3.6","3.2","0.4","0.8","0.4","5"
"113CWL017_1233_1378","3.2","3.2","3.2","0.4","0.4","0.4","5"
"113CWL017_136_241","3.4","3.2","3.0","0.8","0.98","0.0","5"
"113CWL017_1385_1425","2.8","2.8","3.0","0.4","0.4","0.63","5"
"113CWL017_1426_1543","3.2","3.0","3.0","0.4","0.0","0.0","5"
"113CWL017_1550_1560","3.0","3.25","3.0","0.0","0.43","0.0","4"
"113CWL017_1567_1584","3.0","3.0","3.0","0.0","0.0","0.0","5"
"113CWL017_1596_1640","3.0","3.0","3.0","0.0","0.0","0.0","2"
"113CWL017_1641_1724","3.67","3.67","3.67","0.47","0.47","0.47","3"
"113CWL017_18_64","3.0","3.0","3.0","0.0","0.0","0.0","2"
"113CWL017_242_308","3.2","2.4","2.8","0.4","0.8","0.4","5"
"113CWL017_315_478","3.5","3.0","3.5","0.5","0.0","0.5","2"
"113CWL017_492_603","3.6","3.4","3.2","0.49","0.49","0.4","5"
"113CWL017_604_681","3.2","3.0","3.0","0.4","0.0","0.63","5"
"113CWL017_688_775","3.5","3.0","3.5","0.5","0.0","0.5","2"
"113CWL017_71_83","3.5","3.67","2.83","0.76","0.75","0.69","6"
"113CWL017_776_923","3.2","3.4","3.0","0.98","0.49","0.0","5"
"113CWL017_90_135","4.4","4.0","3.0","0.8","0.63","0.0","5"
"113CWL017_924_1027","3.2","3.2","3.2","0.4","0.4","0.4","5"
"113CWL018_1023_1100","3.0","3.0","3.25","0.0","0.71","0.43","4"
"113CWL018_1101_1160","3.0","3.0","2.5","0.0","0.0","0.5","2"
"113CWL018_1167_1191","2.75","3.0","2.75","0.43","0.0","0.43","4"
"113CWL018_1192_1222","3.0","3.4","3.6","0.0","0.49","0.49","5"
"113CWL018_1229_1242","3.0","2.8","2.8","0.0","0.4","0.4","5"
"113CWL018_1249_1337","3.0","2.0","3.0","0.0","1.0","0.0","2"
"113CWL018_1344_1363","3.2","2.8","3.0","0.4","0.4","0.0","5"
"113CWL018_1370_1420","3.0","2.6","2.8","0.0","0.8","0.4","5"
"113CWL018_153_220","2.33","2.83","2.33","0.47","0.69","0.47","6"
"113CWL018_18_35","3.0","2.8","3.0","0.0","0.4","0.0","5"
"113CWL018_227_287","3.2","3.2","3.2","0.4","0.4","0.4","5"
"113CWL018_288_402","3.6","3.0","3.6","0.49","0.63","0.49","5"
"113CWL018_403_590","3.6","3.4","3.6","0.8","0.49","0.49","5"
"113CWL018_42_48","3.0","2.8","3.0","0.0","0.4","0.0","5"
"113CWL018_55_152","2.2","2.8","2.6","0.4","0.4","0.49","5"
"113CWL018_858_951","3.0","2.6","3.0","0.0","0.49","0.0","5"
"113CWL018_952_1022","4.2","3.2","3.8","0.4","0.75","0.4","5"
"114CUL057_1008_1111","3.8","3.8","3.4","0.4","0.4","0.49","5"
"114CUL057_1118_1245","3.75","3.5","2.75","0.43","0.87","0.43","4"
"114CUL057_1252_1394","3.2","3.2","3.0","0.4","0.4","0.0","5"
"114CUL057_1401_1475","3.33","3.33","3.67","0.47","1.25","0.47","3"
"114CUL057_1482_1532","3.33","3.33","3.67","0.47","0.47","0.47","3"
"114CUL057_1539_1549","3.0","3.4","3.4","0.0","0.49","0.49","5"
"114CUL057_1550_1604","3.0","2.8","3.0","0.0","0.4","0.0","5"
"114CUL057_18_67","3.6","3.6","3.2","0.8","0.8","0.4","5"
"114CUL057_214_357","3.4","3.4","3.0","0.8","0.49","0.0","5"
"114CUL057_358_422","4.0","3.6","3.2","0.63","0.49","0.4","5"
"114CUL057_422_423","3.2","3.4","3.2","0.4","0.49","0.4","5"
"114CUL057_430_532","3.2","2.6","3.0","0.4","0.8","0.0","5"
"114CUL057_533_606","3.6","3.6","3.0","0.49","0.49","0.0","5"
"114CUL057_613_726","2.8","2.6","2.8","0.4","0.49","0.4","5"
"114CUL057_727_897","3.6","3.4","3.2","0.49","0.49","0.4","5"
"114CUL057_74_207","3.6","2.2","2.6","0.49","0.98","0.8","5"
"114CUL057_904_920","3.0","3.8","3.2","0.63","0.75","0.4","5"
"114CUL057_921_1001","3.8","3.6","3.2","0.4","0.49","0.4","5"
"114CUL058_1015_1184","3.0","3.0","3.0","0.0","0.0","0.0","2"
"114CUL058_1185_1212","4.2","4.0","3.2","0.75","0.63","0.4","5"
"114CUL058_1219_1378","3.33","3.0","3.0","0.47","0.0","0.0","3"
"114CUL058_1427_1465","3.0","3.33","3.0","0.0","0.47","0.82","3"
"114CUL058_1472_1640","3.67","3.0","3.67","0.47","1.41","0.47","3"
"114CUL058_163_285","3.2","3.2","3.2","0.4","0.4","0.4","5"
"114CUL058_1641_1809","3.4","3.2","3.0","0.49","0.4","0.0","5"
"114CUL058_18_31","2.83","2.67","3.33","0.37","0.47","0.75","6"
"114CUL058_1816_1904","3.0","2.6","3.0","0.0","0.8","0.0","5"
"114CUL058_1905_1972","3.0","2.2","3.4","0.63","0.75","0.49","5"
"114CUL058_1973_2040","3.2","3.4","3.4","0.4","0.49","0.49","5"
"114CUL058_2041_2136","3.5","3.0","3.0","0.5","0.0","0.0","2"
"114CUL058_2137_2197","3.0","3.0","3.0","0.0","0.0","0.0","3"
"114CUL058_2204_2263","3.33","3.0","3.33","0.47","0.0","0.47","3"
"114CUL058_2270_2280","2.6","2.4","3.0","0.8","0.8","0.63","5"
"114CUL058_2287_2319","3.0","2.75","3.25","0.0","0.43","0.43","4"
"114CUL058_2326_2367","3.2","3.2","3.2","0.4","0.4","0.4","5"
