trial1-V	trial1-A	trial1-D	trial2-V	trial2-A	trial2-D	trial3-V	trial3-A	trial3-D	captured_moments_37195_37263-V	captured_moments_37195_37263-A	captured_moments_37195_37263-D	 Ant_Robot_13063_13316-V	 Ant_Robot_13063_13316-A	 Ant_Robot_13063_13316-D	 1402_8125_8144-V	 1402_8125_8144-A	 1402_8125_8144-D	 hotel-california_4128_4435-V	 hotel-california_4128_4435-A	 hotel-california_4128_4435-D	 ch5_27638_27711-V	 ch5_27638_27711-A	 ch5_27638_27711-D	 captured_moments_12539_12758-V	 captured_moments_12539_12758-A	 captured_moments_12539_12758-D	 ucb52_1023_1085-V	 ucb52_1023_1085-A	 ucb52_1023_1085-D	 20020731-nyt_34021_34271-V	 20020731-nyt_34021_34271-A	 20020731-nyt_34021_34271-D	 Nathans_Bylichka_9996_10042-V	 Nathans_Bylichka_9996_10042-A	 Nathans_Bylichka_9996_10042-D	 CUP2_8941_9028-V	 CUP2_8941_9028-A	 CUP2_8941_9028-D	 ch5_24555_24804-V	 ch5_24555_24804-A	 ch5_24555_24804-D	 vampires_1126_1179-V	 vampires_1126_1179-A	 vampires_1126_1179-D	 NYTnewswire3_2107_2202-V	 NYTnewswire3_2107_2202-A	 NYTnewswire3_2107_2202-D	 blog-monastery_847_1074-V	 blog-monastery_847_1074-A	 blog-monastery_847_1074-D	 SemEval_991-V	 SemEval_991-A	 SemEval_991-D	 SemEval_699-V	 SemEval_699-A	 SemEval_699-D	 fcic_final_report_conclusions_33983_34084-V	 fcic_final_report_conclusions_33983_34084-A	 fcic_final_report_conclusions_33983_34084-D	 1402_2664_2687-V	 1402_2664_2687-A	 1402_2664_2687-D	 ucb48_1546_1629-V	 ucb48_1546_1629-A	 ucb48_1546_1629-D	 Uprooted_Bike_6687_6744-V	 Uprooted_Bike_6687_6744-A	 Uprooted_Bike_6687_6744-D	 112C-L012_872_930-V	 112C-L012_872_930-A	 112C-L012_872_930-D	 ucb8_464_584-V	 ucb8_464_584-A	 ucb8_464_584-D	 Black_and_white_10174_10292-V	 Black_and_white_10174_10292-A	 Black_and_white_10174_10292-D	 Ant_Robot_6023_6148-V	 Ant_Robot_6023_6148-A	 Ant_Robot_6023_6148-D	 hsus4_563_693-V	 hsus4_563_693-A	 hsus4_563_693-D	 detroit_13704_13744-V	 detroit_13704_13744-A	 detroit_13704_13744-D	 Fermentation_HR5034_12677_12812-V	 Fermentation_HR5034_12677_12812-A	 Fermentation_HR5034_12677_12812-D	 hotel-california_21389_21437-V	 hotel-california_21389_21437-A	 hotel-california_21389_21437-D	 175841_6408_6558-V	 175841_6408_6558-A	 175841_6408_6558-D	 Ant_Robot_5877_5941-V	 Ant_Robot_5877_5941-A	 Ant_Robot_5877_5941-D	 NYTnewswire4_528_542-V	 NYTnewswire4_528_542-A	 NYTnewswire4_528_542-D	 SemEval_922-V	 SemEval_922-A	 SemEval_922-D	 1401_6335_6380-V	 1401_6335_6380-A	 1401_6335_6380-D	 cable_spool_fort_4979_4990-V	 cable_spool_fort_4979_4990-A	 cable_spool_fort_4979_4990-D	 Nathans_Bylichka_4496_4691-V	 Nathans_Bylichka_4496_4691-A	 Nathans_Bylichka_4496_4691-D	 NYTnewswire9_5980_6065-V	 NYTnewswire9_5980_6065-A	 NYTnewswire9_5980_6065-D	 appalachian1_3296_3316-V	 appalachian1_3296_3316-A	 appalachian1_3296_3316-D	 ucb26_359_372-V	 ucb26_359_372-A	 ucb26_359_372-D	 Anti-Terrorist_2830_2852-V	 Anti-Terrorist_2830_2852-A	 Anti-Terrorist_2830_2852-D	 HistoryLasVegas_11247_11353-V	 HistoryLasVegas_11247_11353-A	 HistoryLasVegas_11247_11353-D
6	4	7	5	3	6	5	4	7	4	6	4	3	5	3	2	4	2	4	6	4	4	3	5	6	3	6	9	3	6	3	6	4	5	8	5	7	4	7	7	4	6	9	6	7	6	4	6	6	3	6	2	3	8	4	5	5	6	4	5	2	7	5	5	4	7	8	9	6	2	4	7	9	6	8	3	4	3	6	3	5	3	1	4	1	1	6	1	2	7	4	2	4	3	2	7	3	5	3	2	3	6	6	3	6	3	2	2	2	1	9	4	7	5	3	2	5	5	3	4	3	2	7	3	6	8	3	4	3
5	3	5	4	5	5	4	5	4	6	4	4	5	5	6	4	3	3	6	5	5	5	4	5	7	5	7	8	6	7	5	6	8	4	3	4	6	5	6	5	5	6	7	6	4	5	5	6	7	6	7	3	4	4	3	4	4	5	4	4	8	8	6	6	5	5	3	3	4	7	8	5	5	5	7	4	4	5	7	5	4	2	3	4	3	4	5	3	3	4	4	5	5	6	6	7	4	5	5	5	4	4	6	7	6	5	4	4	5	5	6	4	5	4	4	4	5	6	5	5	3	3	5	2	4	4	7	6	7
9	9	9	1	1	5	3	3	1	3	3	1	5	5	7	2	2	1	6	5	5	5	5	5	4	3	3	7	5	7	5	5	5	5	5	6	5	5	5	4	6	6	6	7	7	5	6	6	7	6	5	4	4	1	3	6	5	5	5	5	2	6	1	5	5	6	6	7	7	6	6	5	6	7	7	5	5	5	5	5	7	1	2	1	5	5	5	2	7	8	5	5	7	6	6	7	5	6	7	5	5	5	5	6	7	4	6	2	6	6	9	5	5	5	4	7	6	5	6	6	2	3	8	1	3	8	5	5	5
9	9	9	1	9	5	6	4	1	2	7	3	5	5	5	1	9	1	5	5	3	5	5	6	6	7	4	5	3	4	7	6	9	5	7	7	5	6	4	5	5	1	7	7	4	5	6	2	7	3	6	1	9	1	6	7	2	5	5	2	6	8	2	4	4	7	1	8	2	8	7	7	8	8	8	5	4	6	5	5	5	1	8	2	2	8	4	2	7	7	3	6	1	5	4	4	5	5	5	7	8	3	8	8	8	3	8	3	5	6	4	8	7	7	3	7	2	5	5	4	7	5	9	7	8	7	8	8	7
5	1	6	5	1	5	4	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	1	6	1	1	1	1	1	6	1	1	1	1	1	1	1	1	6	1	1	1	1	1	7	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	8	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	1	1	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1
8	9	9	1	5	1	2	9	3	9	9	9	9	8	9	9	9	9	9	8	8	7	3	6	9	6	9	1	1	1	9	9	9	1	1	1	9	9	5	1	1	1	9	9	9	1	1	1	9	4	1	1	1	1	1	1	1	9	1	1	9	9	9	9	9	9	9	9	7	5	3	1	9	9	9	1	1	1	9	9	9	5	5	3	1	1	1	9	9	9	9	1	1	1	1	1	9	9	9	1	9	9	9	9	9	1	1	1	1	1	9	1	9	9	1	1	1	9	9	9	1	1	1	1	1	1	1	1	1
9	9	9	1	1	5	7	7	1	5	5	8	8	8	8	1	1	3	8	4	5	5	5	5	8	8	5	7	7	3	8	7	8	5	5	5	8	8	5	3	3	3	6	7	5	3	3	5	6	7	6	2	2	2	3	9	1	3	3	3	4	6	2	3	3	3	9	9	9	8	8	8	8	8	8	5	5	9	5	5	9	1	9	1	2	7	5	1	9	5	5	5	3	5	5	9	4	8	5	2	7	3	5	9	1	2	8	4	1	9	7	6	9	3	1	9	3	6	9	1	1	1	8	4	9	1	9	9	5
9	9	9	1	1	5	5	5	1	1	1	2	6	5	9	1	1	1	9	6	8	5	2	5	7	5	6	5	5	6	8	5	8	6	2	7	9	5	7	5	1	6	7	5	6	5	1	8	7	3	7	1	1	1	5	1	1	5	2	3	2	5	3	3	1	6	3	1	1	5	1	7	8	5	7	5	1	6	5	1	6	1	1	1	3	1	1	1	1	5	5	1	5	5	1	7	5	1	5	5	5	5	5	2	5	3	5	2	5	1	5	7	6	6	5	1	4	7	5	6	5	1	7	8	1	9	8	5	6
9	9	9	1	1	5	6	4	1	5	5	2	5	5	5	5	5	2	5	5	6	5	5	5	4	5	5	6	5	5	5	5	9	5	5	6	5	5	7	5	5	6	5	5	5	5	5	5	7	7	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	6	5	5	5	6	5	5	5	5	5	6	5	5	5	4	3	5	5	5	5	5	5	7	5	5	5	5	5	8	5	5	5	5	5	5	5	5	6	3	3	2	5	5	5	6	6	5	5	5	2	5	5	5	5	5	5	5	5	5	6	6	5
3	1	4	3	2	3	3	1	3	4	3	4	2	1	2	2	1	2	2	1	2	2	1	3	2	1	3	3	1	3	3	2	3	2	1	3	2	1	3	2	1	2	2	1	2	2	1	2	2	1	3	2	1	2	2	1	2	2	1	2	3	3	3	2	1	2	2	1	2	2	1	2	2	1	2	1	1	1	2	1	2	2	1	2	2	1	2	2	1	2	1	1	1	2	1	2	1	2	2	2	3	3	2	1	2	2	2	2	2	1	2	2	1	2	2	1	2	2	1	2	1	1	1	1	1	1	2	1	2
9	9	9	1	1	5	6	4	1	3	3	3	6	6	8	1	1	1	7	6	6	5	3	6	3	6	2	7	5	7	6	6	8	8	8	8	9	9	9	5	6	9	9	9	9	3	2	7	5	5	5	1	5	1	6	6	5	2	2	2	5	5	1	3	2	7	7	7	6	9	9	7	6	4	8	5	5	8	7	7	9	1	1	5	2	5	8	3	6	9	5	5	3	6	5	9	7	6	7	5	5	2	5	5	9	1	7	1	1	5	9	7	8	2	5	1	5	7	7	7	1	1	9	3	6	9	8	9	5
1	9	1	9	9	9	1	1	1	2	4	1	5	3	6	7	3	2	9	9	9	3	2	1	2	3	4	1	3	3	2	3	3	2	6	3	3	5	5	6	4	2	3	3	1	2	3	2	5	4	3	3	4	3	4	5	3	2	5	6	2	3	5	6	5	3	4	5	3	3	3	4	3	4	5	4	3	4	4	5	4	6	3	2	7	4	5	5	4	5	2	5	4	4	5	2	4	5	2	4	5	4	4	3	4	5	2	5	7	5	7	5	4	5	4	3	2	1	3	3	4	3	4	2	4	5	7	5	4
9	5	1	1	9	5	7	2	1	2	8	7	5	5	5	2	5	1	5	1	4	5	5	5	6	5	4	8	3	3	5	5	5	5	5	5	1	1	5	1	7	6	7	4	3	5	6	3	8	8	3	1	7	1	8	7	2	1	6	7	1	7	8	5	4	6	8	8	3	8	6	5	5	6	3	6	6	4	1	1	1	1	7	5	8	8	5	1	9	6	5	5	5	7	7	5	5	5	5	5	7	4	7	7	3	5	7	3	1	8	7	8	8	2	5	8	6	7	8	6	1	7	4	6	7	2	8	8	4
9	9	9	1	1	1	7	7	7	1	1	1	1	1	1	1	1	1	5	5	5	1	1	1	1	1	1	7	7	7	1	1	1	1	1	1	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	1	1	1	7	7	7	1	1	1	1	1	1	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5	5	1	1	1	1	1	1	5	5	5
9	9	9	1	1	5	3	3	1	2	6	1	4	5	7	1	1	3	7	4	5	4	4	4	1	1	1	3	3	7	4	4	6	4	4	7	3	3	7	4	4	3	6	4	2	4	4	2	5	4	6	4	4	6	6	6	4	4	4	2	3	7	4	3	3	6	5	7	3	5	4	8	6	6	7	4	6	6	4	4	9	2	4	4	2	2	7	1	1	4	4	4	4	4	4	4	4	4	9	4	4	4	6	4	9	3	4	1	1	4	1	6	6	3	1	4	1	4	4	1	4	4	9	6	4	9	7	7	4
4	5	5	4	4	5	5	6	3	4	6	7	5	5	6	5	4	5	4	4	4	5	5	5	5	6	5	2	4	3	4	5	4	4	6	5	5	5	5	5	5	5	4	4	5	5	5	3	5	4	6	6	6	4	5	5	4	4	5	4	5	4	4	4	5	6	4	4	4	4	4	5	4	5	4	6	5	7	3	6	6	5	5	3	5	5	5	4	5	4	5	5	5	6	6	5	4	4	4	4	4	4	5	5	4	5	6	5	5	5	5	4	4	4	4	4	5	5	5	4	4	5	5	6	5	4	5	5	5
9	9	9	1	1	5	7	3	1	6	7	5	3	2	7	2	3	6	7	6	3	2	1	7	3	4	3	7	2	6	5	2	7	2	2	6	6	4	7	3	2	6	7	4	5	2	3	7	7	3	6	2	2	5	3	3	5	4	3	7	6	8	3	3	4	6	7	6	4	1	1	7	5	4	7	6	7	4	1	1	6	1	1	4	1	2	6	3	2	6	2	2	6	2	1	7	2	2	8	2	2	5	1	1	7	2	3	3	3	3	7	6	7	5	2	2	6	1	1	3	1	1	8	1	1	7	5	7	3
9	9	9	1	1	1	5	5	5	3	6	4	2	5	5	2	7	2	7	6	6	5	5	6	3	6	3	6	2	5	4	5	7	5	6	8	6	5	6	4	7	5	6	6	5	3	5	4	7	6	6	2	6	4	6	7	5	4	5	6	7	7	6	5	6	6	7	7	6	4	6	5	6	6	7	6	3	6	4	6	7	2	6	4	3	6	5	2	8	6	5	5	6	5	5	6	3	6	6	5	7	3	5	6	3	3	6	3	5	7	7	6	8	6	2	6	3	5	7	6	1	5	9	1	8	8	5	6	4
8	9	9	1	1	5	7	3	1	8	4	6	2	1	5	2	7	2	8	5	6	3	6	5	3	5	7	3	7	6	5	4	5	2	5	6	7	6	9	3	5	7	3	2	3	2	4	4	8	6	6	7	5	5	9	7	8	9	6	8	7	4	5	7	4	5	6	2	2	7	4	5	7	2	5	1	3	4	7	3	4	1	2	3	8	6	6	5	5	3	2	4	7	7	8	6	8	5	5	4	2	1	7	3	4	2	3	4	7	5	4	6	4	5	7	4	5	8	5	5	2	3	3	1	2	3	1	3	2
6	5	5	4	4	4	5	5	5	4	4	4	6	5	4	6	5	6	4	5	4	6	6	4	5	4	5	4	5	6	5	5	4	5	5	5	4	5	4	5	4	3	4	5	6	5	4	4	4	5	5	6	6	7	3	4	4	5	5	3	4	4	4	6	6	4	4	4	4	3	4	5	5	4	4	4	4	4	5	5	5	5	4	5	4	4	4	4	5	5	5	5	5	4	5	3	4	5	4	3	4	4	5	6	4	4	5	3	5	5	4	4	4	4	5	5	5	4	5	6	4	5	4	5	5	5	4	3	5
9	9	9	1	1	5	3	3	1	2	3	1	5	5	5	2	1	1	7	5	6	5	5	7	6	5	5	8	4	4	7	6	7	7	5	7	7	7	7	1	2	1	3	3	2	5	6	5	6	4	5	3	7	1	6	5	5	5	4	5	7	7	5	6	5	5	7	5	7	4	4	2	4	5	4	5	4	7	5	4	5	2	6	1	6	5	5	4	5	5	7	3	2	6	5	5	5	5	4	5	5	5	6	5	6	6	4	4	5	5	5	6	5	6	5	6	5	7	3	5	5	5	5	6	5	6	6	5	5
9	9	9	1	9	5	7	7	3	1	8	3	5	5	8	1	8	2	7	3	8	8	5	7	8	5	5	9	2	8	9	6	8	6	2	9	9	2	9	4	5	6	8	5	7	9	6	9	5	6	8	2	8	1	8	7	5	4	5	2	8	9	4	5	6	8	7	7	7	7	6	5	9	6	8	5	5	8	5	5	7	2	6	8	1	7	3	1	7	6	5	5	7	7	1	7	8	6	9	5	1	6	5	2	9	2	6	3	3	6	5	8	5	9	4	3	3	5	1	8	4	3	5	9	5	8	9	8	7
7	7	7	6	5	6	7	8	8	7	7	7	7	8	7	7	8	6	7	7	8	8	8	7	8	7	7	5	7	6	7	8	5	7	5	7	8	8	6	8	7	8	8	8	7	8	8	7	6	8	8	7	8	7	4	8	7	7	8	7	7	8	6	8	8	7	8	7	7	5	6	7	8	7	9	8	7	7	8	7	9	5	6	7	7	6	8	8	7	8	8	9	9	9	8	9	7	8	9	8	8	7	7	6	7	8	5	7	7	6	7	7	9	7	8	9	7	7	7	8	8	8	7	8	7	8	8	8	7
4	4	4	4	4	4	4	4	4	6	6	5	5	5	4	4	4	4	4	4	5	4	5	4	4	5	6	4	5	5	5	5	5	5	5	4	5	4	4	5	5	5	4	4	4	4	5	4	5	4	5	5	3	3	6	6	5	4	4	4	5	5	5	4	4	5	5	5	4	5	5	5	4	5	4	5	5	4	4	4	4	5	4	5	4	5	4	5	5	5	4	4	5	5	4	5	4	5	5	5	4	4	5	5	4	5	5	5	4	4	4	4	4	4	5	4	5	4	5	4	4	5	4	4	4	4	5	5	5
9	9	9	1	1	5	5	5	1	3	5	3	5	5	5	5	5	5	6	5	5	5	5	2	1	1	1	9	8	9	5	5	5	5	5	7	9	5	5	5	5	5	9	9	9	5	5	5	9	9	9	1	1	1	1	1	1	3	1	1	1	1	1	3	1	1	9	9	9	9	5	9	9	9	9	9	9	9	5	5	5	1	1	1	1	1	1	1	1	9	5	5	5	5	5	7	5	5	5	5	5	1	5	5	5	3	4	1	5	5	5	8	9	6	5	5	1	5	5	5	9	5	9	5	5	5	7	7	5
9	9	9	1	1	1	5	5	5	6	6	4	5	3	2	1	1	1	6	5	4	5	4	3	4	4	3	5	5	5	1	1	1	4	5	5	1	1	1	1	1	1	3	1	1	1	1	1	2	4	2	1	1	1	1	1	1	2	1	1	5	5	5	2	2	1	1	1	2	2	2	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	2	1	1	1	1	1	4	1	1	1	1	1	1
9	9	9	1	1	5	5	5	1	7	6	8	5	7	5	3	3	2	3	7	6	3	6	4	3	5	7	2	4	5	3	5	6	3	4	5	3	5	3	3	6	5	3	7	5	3	2	7	7	8	5	3	7	5	3	7	5	4	7	5	3	6	4	4	7	5	4	6	7	3	6	7	3	7	5	7	8	5	4	7	6	6	5	4	3	8	5	8	6	3	8	5	3	3	7	5	5	5	5	3	5	6	5	7	5	3	2	3	4	8	5	2	1	2	4	6	2	3	7	5	3	4	5	4	7	5	3	6	3
9	9	9	1	1	5	6	4	1	4	4	1	3	5	5	1	1	1	6	4	5	5	5	5	6	5	5	5	5	4	9	8	9	5	5	5	7	7	4	6	4	5	6	6	5	4	5	5	7	7	5	5	5	5	6	5	4	3	3	5	7	5	5	8	5	5	2	5	4	6	5	5	3	6	5	3	5	5	5	5	5	7	5	4	5	4	6	6	4	5	3	6	5	6	5	5	6	4	5	3	3	5	5	5	5	1	6	5	1	8	1	6	4	5	3	6	5	5	5	5	1	1	9	1	1	1	5	5	4
9	9	9	1	9	5	4	4	1	3	7	3	1	1	6	5	7	1	5	5	5	5	5	5	5	6	5	5	5	9	1	1	4	6	9	9	2	2	5	1	1	1	1	1	1	1	1	8	6	5	5	1	7	1	1	2	5	1	1	1	7	7	1	1	4	7	7	8	8	1	1	1	6	8	8	1	1	2	1	1	1	1	9	4	4	6	5	1	9	2	1	5	3	5	5	5	1	1	1	1	4	2	1	1	1	1	7	1	1	6	4	1	3	1	2	8	1	1	4	3	1	1	1	1	1	1	6	8	5
4	2	3	3	4	4	2	5	3	4	2	3	2	1	3	1	1	1	2	1	2	1	2	2	4	2	2	3	1	2	1	1	2	1	1	3	1	3	3	3	2	3	4	3	2	2	3	2	5	1	2	7	2	4	2	2	2	1	1	2	3	2	5	2	1	2	3	2	1	2	3	3	4	3	1	3	1	2	2	1	2	2	1	2	2	3	1	2	1	3	2	2	1	2	3	2	2	3	2	1	1	2	2	3	1	1	1	2	2	1	2	2	1	2	1	3	2	3	2	1	3	2	3	2	1	1	3	2	1
9	9	9	1	1	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	8	8	8	9	9	9	1	1	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	9	9	9	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
9	9	9	1	9	5	4	4	1	1	8	8	5	5	5	1	5	8	5	2	5	5	5	5	2	7	5	7	3	4	8	5	5	5	2	8	6	2	7	5	5	6	7	6	5	6	7	6	5	1	4	5	1	5	5	5	5	4	2	5	3	7	5	3	6	4	7	7	6	2	2	5	7	7	6	6	5	5	5	5	5	2	5	5	2	5	5	1	7	6	5	5	1	5	5	5	4	5	5	5	5	5	5	5	5	2	7	3	2	5	2	7	7	8	1	5	1	5	8	3	1	1	1	5	8	5	7	8	6
9	9	9	1	1	5	5	5	1	1	1	1	5	1	5	1	1	1	5	5	5	2	1	1	1	5	1	9	1	4	9	5	9	1	1	7	5	5	9	1	3	1	5	1	1	1	1	1	7	5	5	1	1	1	5	1	5	1	1	1	2	6	4	1	1	5	8	4	3	6	5	6	6	5	7	5	4	5	5	5	5	1	1	1	1	1	1	1	1	8	5	5	5	5	5	9	5	5	5	5	1	5	9	5	9	1	1	1	1	1	8	5	5	5	9	5	9	5	5	5	2	1	2	5	1	9	9	9	9
9	9	9	1	1	1	8	5	1	5	8	4	5	4	4	3	5	5	9	6	6	5	8	6	6	9	6	9	7	9	5	6	5	5	5	5	5	8	4	7	6	5	8	8	9	7	7	5	9	8	8	5	5	5	5	5	5	4	6	5	9	9	5	5	6	5	2	7	5	6	6	5	8	8	5	7	7	7	5	5	5	5	9	6	3	8	8	4	9	6	5	5	5	5	5	5	6	8	6	5	5	5	5	5	5	3	9	5	5	5	5	5	6	4	7	5	5	5	5	5	4	4	4	7	8	8	5	7	5
9	9	9	1	1	1	5	5	5	1	5	5	5	5	5	1	1	1	5	5	5	5	5	5	4	4	4	5	5	5	9	9	9	5	5	5	5	5	7	5	5	5	5	5	5	5	5	5	7	7	7	5	5	5	5	5	5	5	5	5	1	1	1	5	5	5	7	7	7	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	5	5	5	1	7	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
9	9	9	1	1	5	4	4	1	2	2	1	3	3	8	2	2	3	6	5	5	4	4	6	3	4	3	6	3	4	6	6	9	5	6	6	7	8	8	4	3	5	6	6	4	7	6	8	6	6	5	1	2	9	3	5	3	2	2	8	8	8	3	3	3	6	8	8	5	7	8	5	7	6	6	2	2	9	2	2	9	1	4	2	4	7	4	2	7	6	4	4	2	3	3	5	2	3	8	3	6	5	4	4	5	2	5	1	4	2	8	8	8	3	3	3	6	8	7	2	1	6	6	7	8	8	8	6	3
3	6	4	3	3	6	8	5	3	2	3	6	7	6	4	4	2	5	3	5	5	5	2	7	3	1	8	5	4	2	8	6	5	8	4	6	3	4	8	7	6	9	6	7	8	7	7	5	6	3	4	6	5	7	7	9	5	6	9	8	7	8	6	8	7	7	5	8	7	7	9	6	5	4	7	6	1	5	8	5	9	6	4	6	5	9	7	6	5	8	6	7	4	5	7	5	5	6	3	7	6	8	9	4	5	6	7	5	5	7	8	7	9	8	3	7	4	8	4	6	6	2	6	3	6	5	7	6	9
9	9	9	1	9	5	4	4	1	1	2	2	4	4	4	1	1	1	6	5	5	2	2	4	3	4	4	3	4	4	4	5	7	4	4	4	3	4	4	3	4	4	4	5	5	2	2	4	2	3	4	1	2	5	3	4	4	2	2	4	3	4	4	2	2	4	5	6	5	2	2	3	2	2	2	2	2	2	2	2	3	1	1	3	1	2	4	1	2	3	1	1	1	2	3	3	2	2	2	1	1	1	1	1	2	1	2	3	1	2	4	2	3	3	1	2	4	2	4	4	1	1	3	2	2	4	2	3	3
9	9	9	1	5	1	6	6	1	3	4	4	5	5	5	2	5	3	6	5	5	5	5	5	6	5	5	5	1	6	2	5	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	5	5	5	5	5	5	5	5	7	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	6	5	5	5	5	5	5	5	5	5	5	6	5	6	6	6	5
